SZN,115,2
WCN,170,39
XUN,181,12
ZDN,88,5
LON,43,12
ZZF,250,38
SJP,438,26
BJP,285,21
SHD,370

780000Y12270,Y122,240901,0
GIW,,04:16
KLW,197,4
YZW,147,3
HHQ,105,20
LDQ,263,6
XTQ,75,4
ZZQ,43,20
CSQ,55,15
YYQ,90,6
CBN,106,19
WCN,78,27
XUN,181,12
孟庙,160,30
ZZF,208,38
AYF,189,19
HDP,60,6
SJP,164,26
BDP,81,27
FTP,116,39
BJP,22,21
FUP,219,11
SHD,140

630000Y122H0,Y122,240911,0
GZQ,,10:18
SGQ,185,6
CZQ,105,6
HYQ,109,6
ZZQ,86,22
CSQ,55,15
YYQ,90,6
CBN,106,19
WCN,78,27
XUN,181,12
孟庙,160,30
ZZF,208,38
AYF,189,19
HDP,60,6
SJP,164,26
BDP,81,27
FTP,116,39
BJP,22,21
FUP,219,11
SHD,140

260000Y122P0,Y122,240913,0
HDP,,16:42
SJP,164,26
BDP,81,27
FTP,116,39
BJP,22,21
FUP,219,11
SHD,140,20
SZD,44,3
HLD,44,3
JZD,41,8
PVD,62,3
HCT,59,3
AST,26,3
LYT,18,3
SBT,111

260000Y122J0,Y122,240914,0
BDP,,21:40
SPT,1159

260000Y122M0,Y122,240917,0
BDP,,21:40
SBT,955

260000Y122Q0,Y122,240919,0
BDP,,21:40
BJP,177

620000Y122A0,Y122,240925,0
XTQ,,18:00
ZZQ,43,20
CSQ,55,15
YYQ,90,6
CBN,106,19
WCN,78,27
XUN,181,12
孟庙,160,30
ZZF,208,38
AYF,189,19
HDP,60,6
SJP,164,26
BDP,81,27
FTP,116,39
BJP,22,21
FUP,219,11
SHD,140,20
HLD,87,3
JZD,43,8
PVD,62,4
HCT,59,3
AST,26,5
LYT,18,3
SYT,49,26
FET,55,4
MHL,168,13
LYL,83,5
SPT,81,8
GLT,57,3
CCT,44

630000Y122J0,Y122,241019,0
GZQ,,10:18
CSQ,580,15
VBB,158

260000Y122U0,Y122,241028,0
HDP,,16:42
SHD,866,20
SZD,44,3
HLD,44,3
JZD,41,8
GBD,42,3
PVD,73,4
HCT,59,3
AST,26,3
LYT,18,4
SYT,49,35
FET,56

620000Y122B0,Y123,241028

260000Y122D0,Y122,240914,0
BDP,,21:40
BJP,177

5b0000Y12220,Y122,240926,0
WAS,,05:42
HFG,127,4
YTG,98,24
DXG,27,4
XTG,130,26
FCG,39,4
ZSG,18,4
XUG,55,9
YEG,36,5
PXG,43,5
灯芯桥,59,11
ZZQ,53,20
CSQ,55,15
YYQ,90,6
CBN,106,19
WCN,78,27
XUN,181,12
孟庙,160,30
ZZF,208,38
AYF,189,19
HDP,60,6
SJP,164,26
BDP,81,27
FTP,116,39
BJP,22,21
FUP,219,11
SHD,140

630000Y122I0,Y123,241008,0
GZQ,,10:18
YTQ,59,3
SGQ,123,6
CZQ,105,6
HYQ,109,6
ZZQ,86,22
CSQ,55,15
YYQ,90,6
CBN,106,19
WCN,78,27
XUN,181,12
孟庙,160,30
ZZF,208,38
AYF,189,19
HDP,60,6
SJP,164,26
BDP,81,27
FTP,116,39
BJP,22,21
FUP,219,11
SHD,140

390000Y12290,Y122,241227,0
WCN,,01:39
XUN,181,12
孟庙,160,30
ZZF,208,38
AYF,189,19
HDP,60,6
SJP,164,26
BDP,81,27
FTP,116,39
BJP,22,21
FUP,219,11
SHD,140,20
JZD,133,8
SBT,226,34
SPT,170,5
CCT,116

390000Y12280,Y122,241229,0
WCN,,01:39
